PDF_URL,TITLE,YEAR
https://assets.scriptslug.com/live/pdf/scripts/as-good-as-it-gets-1997.pdf,as good as it gets ,1997
https://assets.scriptslug.com/live/pdf/scripts/ask-the-dust-2006.pdf,ask the dust ,2006
https://assets.scriptslug.com/live/pdf/scripts/assassination-nation-2018.pdf,assassination nation ,2018
https://assets.scriptslug.com/live/pdf/scripts/assault-on-precinct-13-2005.pdf,assault on precinct 13 ,2005
https://assets.scriptslug.com/live/pdf/scripts/asteroid-city-2023.pdf,asteroid city ,2023
https://assets.scriptslug.com/live/pdf/scripts/atomic-blonde-2017.pdf,atomic blonde ,2017
https://assets.scriptslug.com/live/pdf/scripts/attack-the-block-2011.pdf,attack the block ,2011
https://assets.scriptslug.com/live/pdf/scripts/audrey-rose-1977.pdf,audrey rose ,1977
https://assets.scriptslug.com/live/pdf/scripts/august-osage-county-2013.pdf,august osage county ,2013
https://assets.scriptslug.com/live/pdf/scripts/avatar-2009.pdf,avatar ,2009
https://assets.scriptslug.com/live/pdf/scripts/avengers-endgame-2019.pdf,avengers endgame ,2019
https://assets.scriptslug.com/live/pdf/scripts/avp-alien-vs-predator-2004.pdf,avp alien vs predator ,2004
https://assets.scriptslug.com/live/pdf/scripts/baby-boy-2001.pdf,baby boy ,2001
https://assets.scriptslug.com/live/pdf/scripts/baby-driver-2017.pdf,baby driver ,2017
https://assets.scriptslug.com/live/pdf/scripts/babylon-2022.pdf,babylon ,2022
https://assets.scriptslug.com/live/pdf/scripts/back-to-the-future-1985.pdf,back to the future ,1985
https://assets.scriptslug.com/live/pdf/scripts/bad-boys-1995.pdf,bad boys ,1995
https://assets.scriptslug.com/live/pdf/scripts/bad-boys-for-life-2020.pdf,bad boys for life ,2020
https://assets.scriptslug.com/live/pdf/scripts/bad-lieutenant-1992.pdf,bad lieutenant ,1992
https://assets.scriptslug.com/live/pdf/scripts/bad-moms-2016.pdf,bad moms ,2016
https://assets.scriptslug.com/live/pdf/scripts/bad-moon-1996.pdf,bad moon ,1996
https://assets.scriptslug.com/live/pdf/scripts/bad-santa-2003.pdf,bad santa ,2003
https://assets.scriptslug.com/live/pdf/scripts/bad-teacher-2011.pdf,bad teacher ,2011
https://assets.scriptslug.com/live/pdf/scripts/bad-times-at-the-el-royale-2018.pdf,bad times at the el royale ,2018
https://assets.scriptslug.com/live/pdf/scripts/badlands-1973.pdf,badlands ,1973
https://assets.scriptslug.com/live/pdf/scripts/barb-and-star-go-to-vista-del-mar-2021.pdf,barb and star go to vista del mar ,2021
https://assets.scriptslug.com/live/pdf/scripts/barbarian-2022.pdf,barbarian ,2022
https://assets.scriptslug.com/live/pdf/scripts/barbershop-2002.pdf,barbershop ,2002
https://assets.scriptslug.com/live/pdf/scripts/barbie-2023.pdf,barbie ,2023
https://assets.scriptslug.com/live/pdf/scripts/barton-fink-1991.pdf,barton fink ,1991
https://assets.scriptslug.com/live/pdf/scripts/basic-instinct-1992.pdf,basic instinct ,1992
https://assets.scriptslug.com/live/pdf/scripts/basic-instinct-2-2006.pdf,basic instinct 2 ,2006
https://assets.scriptslug.com/live/pdf/scripts/basket-case-1982.pdf,basket case ,1982
https://assets.scriptslug.com/live/pdf/scripts/batman-1989.pdf,batman ,1989
https://assets.scriptslug.com/live/pdf/scripts/batman-begins-2005.pdf,batman begins ,2005
https://assets.scriptslug.com/live/pdf/scripts/batman-forever-1995.pdf,batman forever ,1995
https://assets.scriptslug.com/live/pdf/scripts/batman-mask-of-the-phantasm-1993.pdf,batman mask of the phantasm ,1993
https://assets.scriptslug.com/live/pdf/scripts/batman-returns.pdf,batman ret,urns
https://assets.scriptslug.com/live/pdf/scripts/batman-robin-1997.pdf,batman robin ,1997
https://assets.scriptslug.com/live/pdf/scripts/battle-of-the-sexes-2017.pdf,battle of the sexes ,2017
https://assets.scriptslug.com/live/pdf/scripts/battlefield-earth-2000.pdf,battlefield earth ,2000
https://assets.scriptslug.com/live/pdf/scripts/baywatch-2017.pdf,baywatch ,2017
https://assets.scriptslug.com/live/pdf/scripts/bean-1997.pdf,bean ,1997
https://assets.scriptslug.com/live/pdf/scripts/beau-is-afraid-2023.pdf,beau is afraid ,2023
https://assets.scriptslug.com/live/pdf/scripts/beautiful-boy-2018.pdf,beautiful boy ,2018
https://assets.scriptslug.com/live/pdf/scripts/beauty-and-the-beast-2017.pdf,beauty and the beast ,2017
https://assets.scriptslug.com/live/pdf/scripts/beetlejuice-1988.pdf,beetlejuice ,1988
https://assets.scriptslug.com/live/pdf/scripts/before-midnight-2013.pdf,before midnight ,2013
https://assets.scriptslug.com/live/pdf/scripts/beginners-2010.pdf,beginners ,2010
https://assets.scriptslug.com/live/pdf/scripts/being-john-malkovich-1999.pdf,being john malkovich ,1999
https://assets.scriptslug.com/live/pdf/scripts/being-the-ricardos-2021.pdf,being the ricardos ,2021
https://assets.scriptslug.com/live/pdf/scripts/being-there-1979.pdf,being there ,1979
https://assets.scriptslug.com/live/pdf/scripts/belfast-2021.pdf,belfast ,2021
https://assets.scriptslug.com/live/pdf/scripts/belle-2013.pdf,belle ,2013
https://assets.scriptslug.com/live/pdf/scripts/beverly-hills-cop-1984.pdf,beverly hills cop ,1984
https://assets.scriptslug.com/live/pdf/scripts/big-1988.pdf,big ,1988
https://assets.scriptslug.com/live/pdf/scripts/big-fish-2003.pdf,big fish ,2003
https://assets.scriptslug.com/live/pdf/scripts/big-time-adolescence-2020.pdf,big time adolescence ,2020
https://assets.scriptslug.com/live/pdf/scripts/big-trouble-in-little-china-1986.pdf,big trouble in little china ,1986
https://assets.scriptslug.com/live/pdf/scripts/bill-and-ted-face-the-music-2020.pdf,bill and ted face the music ,2020
https://assets.scriptslug.com/live/pdf/scripts/bill-and-teds-bogus-journey-1991.pdf,bill and teds bogus journey ,1991
https://assets.scriptslug.com/live/pdf/scripts/bill-and-teds-excellent-adventure-1989.pdf,bill and teds excellent adventure ,1989
https://assets.scriptslug.com/live/pdf/scripts/bird-box-2018.pdf,bird box ,2018
https://assets.scriptslug.com/live/pdf/scripts/birdman-2014.pdf,birdman ,2014
https://assets.scriptslug.com/live/pdf/scripts/black-christmas-1974.pdf,black christmas ,1974
https://assets.scriptslug.com/live/pdf/scripts/black-panther-2018.pdf,black panther ,2018
https://assets.scriptslug.com/live/pdf/scripts/black-panther-wakanda-forever-2022.pdf,black panther wakanda forever ,2022
https://assets.scriptslug.com/live/pdf/scripts/black-swan-2010.pdf,black swan ,2010
https://assets.scriptslug.com/live/pdf/scripts/blackberry-2023.pdf,blackberry ,2023
https://assets.scriptslug.com/live/pdf/scripts/blackkklansman-2018.pdf,blackkklansman ,2018
https://assets.scriptslug.com/live/pdf/scripts/blade-1998.pdf,blade ,1998
https://assets.scriptslug.com/live/pdf/scripts/blade-runner-1982.pdf,blade runner ,1982
https://assets.scriptslug.com/live/pdf/scripts/blade-runner-2049-2017.pdf,blade runner 2049 ,2017
https://assets.scriptslug.com/live/pdf/scripts/blades-of-glory-2007.pdf,blades of glory ,2007
https://assets.scriptslug.com/live/pdf/scripts/blankman-1994.pdf,blankman ,1994
https://assets.scriptslug.com/live/pdf/scripts/blazing-saddles-1974.pdf,blazing saddles ,1974
https://assets.scriptslug.com/live/pdf/scripts/blindspotting-2018.pdf,blindspotting ,2018
https://assets.scriptslug.com/live/pdf/scripts/blonde-2022.pdf,blonde ,2022
https://assets.scriptslug.com/live/pdf/scripts/blood-diamond-2006.pdf,blood diamond ,2006
